cooccurring_word,frequency,target_word
-,879,ai
relate,176,ai
drive,88,ai
human,57,ai
number,45,ai
generate,44,ai
power,43,ai
law,37,ai
public,31,ai
base,30,ai
system,30,ai
pass,30,ai
enable,29,ai
research,29,ai
model,27,ai
content,27,ai
tool,25,ai
bill,25,ai
specific,23,ai
state,21,ai
spending,21,ai
risk,20,ai
country,20,ai
increase,20,ai
level,19,ai
service,19,ai
investment,19,ai
regulation,19,ai
use,18,ai
index,18,ai
grant,18,ai
contract,18,ai
first,17,ai
development,17,ai
agentic,16,ai
interaction,16,ai
medical,16,ai
protein,16,ai
world,15,ai
agent,15,ai
workflow,15,ai
access,15,ai
datum,15,ai
native,14,ai
include,14,ai
total,14,ai
social,14,ai
policy,13,ai
people,13,ai
help,12,ai
