document_id,filename,file_size_mb,extraction_date,char_count,word_count,line_count,page_count,title,author,subject,creator,source_type
Bain_report_technology_report_2025,Bain_report_technology_report_2025.pdf,5.88,2025-12-09T23:57:14.534821,134654,20593,1,77,,,,Adobe InDesign 20.4 (Windows),Consulting
BCG_AI_Agents_2025,BCG_AI_Agents_2025.pdf,0.82,2025-12-09T23:57:15.965265,10362,1601,1,9,BCG_AI_Agents_2025,,,,Consulting
Deloitte_The_business_imperative_for_Agentic_AI_2025,Deloitte_The_business_imperative_for_Agentic_AI_2025.pdf,5.31,2025-12-09T23:57:18.566039,158368,3966,1,26,Agentic AI_Version_11,,,Adobe Illustrator 29.6 (Windows),Consulting
Google_Agentic_AI_TAM_Analysis_2025,Google_Agentic_AI_TAM_Analysis_2025.pdf,22.31,2025-12-09T23:57:31.932526,154199,22140,1,72,,,,Adobe InDesign 20.3 (Macintosh),Industry
Google_The_ROI_of_AI_2025,Google_The_ROI_of_AI_2025.pdf,0.12,2025-12-09T23:57:33.188594,8597,1214,1,8,Google_The_ROI_of_AI_2025,,,,Industry
Harvard_Designing_a_Successful_Agentic_AI_System_2025,Harvard_Designing_a_Successful_Agentic_AI_System_2025.pdf,0.21,2025-12-09T23:57:36.005754,17627,2648,1,7,Harvard_Designing_a_Successful_Agentic_AI_System_2025,,,,Academic
ITI_Understanding_Agentic_AI_Policy_Guide_2025,ITI_Understanding_Agentic_AI_Policy_Guide_2025.pdf,0.78,2025-12-09T23:57:40.199131,43410,5992,1,16,,,,Adobe InDesign 20.0 (Macintosh),Policy
McKinsey_Empowering_advanced_industries_with_agentic_AI_2025,McKinsey_Empowering_advanced_industries_with_agentic_AI_2025.pdf,0.55,2025-12-09T23:57:44.034027,18082,2455,1,8,Empowering advanced industries with agentic AI,,,,Consulting
McKinsey_The_agentic_organization_contours_of_the_next_paradigm_for_the_AI_era_2025,McKinsey_The_agentic_organization_contours_of_the_next_paradigm_for_the_AI_era_2025.pdf,1.35,2025-12-09T23:57:46.481825,32965,4817,1,11,,,,Adobe InDesign 20.0 (Macintosh),Consulting
McKinsey_What_is_an_AI_Agent_2025,McKinsey_What_is_an_AI_Agent_2025.pdf,0.47,2025-12-09T23:57:50.066318,21767,3390,1,11,What is an AI agent?,,,,Consulting
Microsoft_Agent_AI_Towards_a_Holistic_Intelligence_2025,Microsoft_Agent_AI_Towards_a_Holistic_Intelligence_2025.pdf,0.72,2025-12-09T23:57:54.497425,90488,6706,1,21,,,,LaTeX with hyperref,Industry
MIT_Reimagining_the_future_of_banking_with_agentic_AI_2025,MIT_Reimagining_the_future_of_banking_with_agentic_AI_2025.pdf,1.14,2025-12-09T23:57:58.262653,24328,3789,1,10,,,,Adobe InDesign 20.5 (Macintosh),Academic
MIT_The_Emerging_Agentic_enterprise_2025,MIT_The_Emerging_Agentic_enterprise_2025.pdf,2.33,2025-12-09T23:58:02.478429,78511,11952,1,40,The Emerging Agentic Enterprise: How Leaders Must Navigate a New Age of AI,"Sam Ransbotham, David Kiron, Shervin Khodabandeh, Sesh Iyer, and Amartya Das",,Adobe InDesign 21.0 (Macintosh),Academic
OECD_Explanatory_memorandum_on_the_updated_oecd_definition_of_an_AI_system_2024,OECD_Explanatory_memorandum_on_the_updated_oecd_definition_of_an_AI_system_2024.pdf,1.63,2025-12-09T23:58:05.137537,23842,3597,1,11,Explanatory memorandum on the updated OECD definition of an AI system (EN),OECD,https://doi.org/10.1787/623da898-en,OECD Publishing Systems,Policy
OECD_From_prediction_to_autonomy_What_agentic_AI_means_for_SMEs_2025,OECD_From_prediction_to_autonomy_What_agentic_AI_means_for_SMEs_2025.pdf,0.77,2025-12-09T23:58:06.554800,32864,4825,1,13,,Marta.LASHERASSANCHO@oecd.org;Insung.KWON@oecd.org,,Acrobat PDFMaker 25 for Word,Policy
